hospital_pk,state,ccn,hospital_name,address,city,zip,hospital_subtype,fips_code,geocoded_hospital_address,hhs_ids,publication_date,collection_week,is_metro_micro,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hosp_confirmed_suspected_covid_7d_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hosp_confirmed_suspected_covid_7d_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_suspected_covid_7d_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum,total_patients_hospitalized_confirmed_influenza_7_day_sum,icu_patients_confirmed_influenza_7_day_sum,total_patients_hosp_confirmed_influenza_and_covid_7d_sum,total_beds_7_day_coverage,all_adult_hospital_beds_7_day_coverage,all_adult_hospital_inpatient_beds_7_day_coverage,inpatient_beds_used_7_day_coverage,all_adult_hospital_inpatient_bed_occupied_7_day_coverage,total_adult_patients_hosp_confirmed_suspected_covid_7d_cov,total_adult_patients_hospitalized_confirmed_covid_7_day_coverage,total_pediatric_patients_hosp_confirmed_suspected_covid_7d_cov,total_pediatric_patients_hosp_confirmed_covid_7d_cov,inpatient_beds_7_day_coverage,total_icu_beds_7_day_coverage,total_staffed_adult_icu_beds_7_day_coverage,icu_beds_used_7_day_coverage,staffed_adult_icu_bed_occupancy_7_day_coverage,staffed_icu_adult_patients_confirmed_suspected_covid_7d_cov,staffed_icu_adult_patients_confirmed_covid_7_day_coverage,total_patients_hospitalized_confirmed_influenza_7_day_coverage,icu_patients_confirmed_influenza_7_day_coverage,total_patients_hosp_confirmed_influenza_and_covid_7d_cov,previous_day_admission_adult_covid_confirmed_7_day_sum,previous_day_admission_adult_covid_confirmed_18_19_7_day_sum,previous_day_admission_adult_covid_confirmed_20_29_7_day_sum,previous_day_admission_adult_covid_confirmed_30_39_7_day_sum,previous_day_admission_adult_covid_confirmed_40_49_7_day_sum,previous_day_admission_adult_covid_confirmed_50_59_7_day_sum,previous_day_admission_adult_covid_confirmed_60_69_7_day_sum,previous_day_admission_adult_covid_confirmed_70_79_7_day_sum,previous_day_admission_adult_covid_confirmed_80plus_7_day_sum,previous_day_admission_adult_covid_confirmed_unknown_7_day_sum,previous_day_admission_pediatric_covid_confirmed_7_day_sum,previous_day_covid_ed_visits_7_day_sum,previous_day_admission_adult_covid_suspected_7_day_sum,previous_day_admission_adult_covid_suspected_18_19_7_day_sum,previous_day_admission_adult_covid_suspected_20_29_7_day_sum,previous_day_admission_adult_covid_suspected_30_39_7_day_sum,previous_day_admission_adult_covid_suspected_40_49_7_day_sum,previous_day_admission_adult_covid_suspected_50_59_7_day_sum,previous_day_admission_adult_covid_suspected_60_69_7_day_sum,previous_day_admission_adult_covid_suspected_70_79_7_day_sum,previous_day_admission_adult_covid_suspected_80plus_7_day_sum,previous_day_admission_adult_covid_suspected_unknown_7_day_sum,previous_day_admission_pediatric_covid_suspected_7_day_sum,previous_day_total_ed_visits_7_day_sum,previous_day_admission_influenza_confirmed_7_day_sum,is_corrected,previous_day_admission_adult_covid_confirmed_7_day_coverage,previous_day_admission_adult_covid_suspected_7_day_coverage,previous_day_admission_pediatric_covid_confirmed_7_day_coverage,previous_day_admission_pediatric_covid_suspected_7_day_coverage,previous_week_patients_covid_vaccinated_doses_all_7_day,previous_week_patients_covid_vaccinated_doses_all_7_day_sum,previous_week_patients_covid_vaccinated_doses_one_7_day,previous_week_patients_covid_vaccinated_doses_one_7_day_sum,previous_week_personnel_covid_vaccd_doses_administered_7_day,previous_week_personnel_covid_vaccd_doses_administered_7_day_sum,total_personnel_covid_vaccinated_doses_all_7_day,total_personnel_covid_vaccinated_doses_all_7_day_sum,total_personnel_covid_vaccinated_doses_none_7_day,total_personnel_covid_vaccinated_doses_none_7_day_sum,total_personnel_covid_vaccinated_doses_one_7_day,total_personnel_covid_vaccinated_doses_one_7_day_sum,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hosp_confirmed_suspected_covid_7d_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hosp_confirmed_suspected_covid_7d_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_suspected_covid_7d_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hosp_confirmed_influenza_and_covid_7d_avg
050025,CA,050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,92103,Short Term,06073,POINT (-117.165844 32.754258),"[C050025-A, C050025-B]",20230623,20201106,1,6594,5649,4669,4336,4016,242,225,-999999,0,5614,1274,791.0,868.0,666.0,83,80.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,-999999,-999999,-999999,0,-999999,-999999,-999999,0,0.0,0,383,13,0,-999999,0,-999999,-999999,5,-999999,0,0.0,0,1347,0.0,0,7,7,7,7,,,,,,,,,,,,,942.0,807.0,667.0,619.4,573.7,34.6,32.1,-999999.0,0.0,802.0,182.0,113.0,124.0,95.1,11.9,11.4,0.0,0.0,0.0
050262,CA,050262,RONALD REAGAN UCLA MEDICAL CENTER,757 WESTWOOD PLAZA,LOS ANGELES,90095,Short Term,06037,POINT (-118.44562 34.06617),[C050262-A],20230623,20201106,1,3199,2723,2492,2764,2391,216,120,-999999,0,2968,1085,763.0,998.0,713.0,70,66.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0.0,0,123,0,0,0,0,0,0,0,0,0,0.0,0,766,0.0,0,7,7,7,7,,,,,,,,,,,,,457.0,389.0,356.0,394.9,341.6,30.9,17.1,-999999.0,0.0,424.0,155.0,109.0,142.6,101.9,10.0,9.4,0.0,0.0,0.0
050373,CA,050373,LAC+USC MEDICAL CENTER,"1200 N STATE ST, ROOM C2K100",LOS ANGELES,90033,Short Term,06037,POINT (-118.208376 34.057996),[C050373-A],20230623,20201106,1,4442,4170,4170,3496,3353,272,233,11,-999999,4442,909,735.0,707.0,600.0,109,94.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,34,0,4,-999999,8,5,6,7,-999999,0.0,0,140,15,0,-999999,-999999,0,-999999,4,-999999,-999999,0.0,0,2278,0.0,0,7,7,7,7,,,,,,,,,,,,,634.6,595.7,595.7,499.4,479.0,38.9,33.3,-999999.0,-999999.0,634.6,129.9,105.0,101.0,85.7,15.6,13.4,0.0,0.0,0.0
050441,CA,050441,STANFORD HEALTH CARE,300 PASTEUR DRIVE,STANFORD,94305,Short Term,06085,POINT (-122.175944 37.433018),[C050441-A],20230623,20201106,1,4418,4316,4242,3775,3775,90,73,0,0,4242,693,693.0,505.0,505.0,24,22.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,15,0,0,6,-999999,-999999,6,0,0,0.0,0,145,171,-999999,5,11,16,35,30,41,31,0.0,0,1682,0.0,0,7,7,7,7,,,,,,,,,,,,,631.1,616.6,606.0,539.3,539.3,12.9,10.4,0.0,0.0,606.0,99.0,99.0,72.1,72.1,-999999.0,-999999.0,0.0,0.0,0.0
050454,CA,050454,UCSF MEDICAL CENTER,"505 PARNASSUS AVE, BOX 0296",SAN FRANCISCO,94143,Short Term,06075,POINT (-122.457544 37.762452),"[C050454-C, C050454-B, C050454-D, C050454-A]",20230623,20201106,1,4832,3550,3549,4574,3505,94,84,-999999,0,4830,1284,714.0,1005.0,518.0,30,28.0,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,-999999,0,-999999,0,0,0,0,0,0,0.0,0,196,0,0,0,0,0,0,0,0,0,0.0,0,814,,0,7,7,7,7,,,,,,,,,,,,,690.3,507.1,507.0,653.4,500.7,13.4,12.0,-999999.0,0.0,690.0,183.4,102.0,143.6,74.0,4.3,4.0,,,
050625,CA,050625,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD,LOS ANGELES,90048,Short Term,06037,POINT (-118.380122 34.075496),[C050625-A],20230623,20201106,1,6489,6195,6195,5739,5506,238,171,0,0,6489,1155,756.0,858.0,675.0,64,48.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,25,0,-999999,-999999,-999999,7,7,-999999,4,0.0,0,70,31,0,0,-999999,-999999,6,4,5,12,0.0,0,1554,0.0,0,7,7,7,7,,,,,,,,,,,,,927.0,885.0,885.0,819.9,786.6,34.0,24.4,0.0,0.0,927.0,165.0,108.0,122.6,96.4,9.1,6.9,0.0,0.0,0.0
330005,NY,330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,14210,Short Term,36029,POINT (-78.865984 42.900906),"[C330005-B, C330005-A]",20230623,20201106,1,6853,6853,6328,4619,4619,397,224,0,0,6328,1505,1505.0,624.0,624.0,94,64.0,-999999.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,46,-999999,4,0,-999999,8,12,9,10,0.0,0,161,89,0,-999999,4,-999999,9,24,22,25,-999999.0,0,1902,-999999.0,0,7,7,7,7,,,,,,,,,,,,,979.0,979.0,904.0,659.9,659.9,56.7,32.0,0.0,0.0,904.0,215.0,215.0,89.1,89.1,13.4,9.1,-999999.0,0.0,0.0
330024,NY,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,10029,Short Term,36061,POINT (-73.953392 40.790390),"[C330024-B, C330024-A]",20230623,20201106,1,11585,10647,9030,9186,8505,637,397,19,-999999,9940,1869,1722.0,1793.0,1682.0,115,107.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,45,0,-999999,4,-999999,10,5,18,4,0.0,0,757,24,0,-999999,0,4,6,-999999,6,4,0.0,-999999,3745,0.0,0,7,7,7,7,,,,,,,,,,,,,1655.0,1521.0,1290.0,1312.3,1215.0,91.0,56.7,-999999.0,-999999.0,1420.0,267.0,246.0,256.1,240.3,16.4,15.3,0.0,0.0,0.0
330059,NY,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,10467,Short Term,36005,POINT (-73.879897 40.879872),"[C330059-C, C330059-B, C330059-A, C330059-D]",20230623,20201106,1,10955,9604,9604,8556,7734,350,350,24,24,10955,1456,875.0,1083.0,686.0,81,81.0,0.0,0.0,0.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,60,0,4,7,6,7,9,14,11,-999999.0,-999999,1733,0,0,0,0,0,0,0,0,0,0.0,0,3890,0.0,0,7,7,7,7,,,,,,,,,,,,,1565.0,1372.0,1372.0,1222.3,1104.9,50.0,50.0,-999999.0,-999999.0,1565.0,208.0,125.0,154.7,98.0,11.6,11.6,0.0,0.0,0.0
330101,NY,330101,NEW YORK-PRESBYTERIAN HOSPITAL,525 EAST 68TH STREET,NEW YORK,10065,Short Term,36061,POINT (-73.954509 40.764355),"[C330101-A, C330101-H, C330101-D, C330101-F, C330101-G, C330101-C, C330101-E]",20230623,20201106,1,22947,18286,15580,16423,13462,1344,433,59,10,19815,3602,1922.0,2864.0,1683.0,216,98.0,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,50,-999999,-999999,13,5,-999999,9,5,10,0.0,4,755,486,-999999,27,46,51,79,89,95,97,0.0,23,5853,,0,7,7,7,7,,,,,,,,,,,,,3278.1,2612.3,2225.7,2346.1,1923.1,192.0,61.9,8.4,-999999.0,2830.7,514.6,274.6,409.1,240.4,30.9,14.0,,,
