index,kind,entity,resource,region,concept_semantic
0,hospital,H1,VNT,0,shortage_risk
1,hospital,H1,ICU,0,shortage_risk
2,hospital,H1,PPE,0,shortage_risk
3,hospital,H1,AVD,0,shortage_risk
4,hospital,H2,VNT,0,shortage_risk
5,hospital,H2,ICU,0,shortage_risk
6,hospital,H2,PPE,0,shortage_risk
7,hospital,H2,AVD,0,shortage_risk
8,hospital,H3,VNT,0,shortage_risk
9,hospital,H3,ICU,0,shortage_risk
10,hospital,H3,PPE,0,shortage_risk
11,hospital,H3,AVD,0,shortage_risk
12,hospital,H4,VNT,0,shortage_risk
13,hospital,H4,ICU,0,shortage_risk
14,hospital,H4,PPE,0,shortage_risk
15,hospital,H4,AVD,0,shortage_risk
16,hospital,H5,VNT,0,shortage_risk
17,hospital,H5,ICU,0,shortage_risk
18,hospital,H5,PPE,0,shortage_risk
19,hospital,H5,AVD,0,shortage_risk
20,hospital,H6,VNT,0,shortage_risk
21,hospital,H6,ICU,0,shortage_risk
22,hospital,H6,PPE,0,shortage_risk
23,hospital,H6,AVD,0,shortage_risk
24,hospital,H7,VNT,1,shortage_risk
25,hospital,H7,ICU,1,shortage_risk
26,hospital,H7,PPE,1,shortage_risk
27,hospital,H7,AVD,1,shortage_risk
28,hospital,H8,VNT,1,shortage_risk
29,hospital,H8,ICU,1,shortage_risk
30,hospital,H8,PPE,1,shortage_risk
31,hospital,H8,AVD,1,shortage_risk
32,hospital,H9,VNT,1,shortage_risk
33,hospital,H9,ICU,1,shortage_risk
34,hospital,H9,PPE,1,shortage_risk
35,hospital,H9,AVD,1,shortage_risk
36,hospital,H10,VNT,1,shortage_risk
37,hospital,H10,ICU,1,shortage_risk
38,hospital,H10,PPE,1,shortage_risk
39,hospital,H10,AVD,1,shortage_risk
40,hospital,H11,VNT,1,shortage_risk
41,hospital,H11,ICU,1,shortage_risk
42,hospital,H11,PPE,1,shortage_risk
43,hospital,H11,AVD,1,shortage_risk
44,hospital,H12,VNT,1,shortage_risk
45,hospital,H12,ICU,1,shortage_risk
46,hospital,H12,PPE,1,shortage_risk
47,hospital,H12,AVD,1,shortage_risk
48,dc,DC1,VNT,0,supply_availability
49,dc,DC1,ICU,0,supply_availability
50,dc,DC1,PPE,0,supply_availability
51,dc,DC1,AVD,0,supply_availability
52,dc,DC2,VNT,1,supply_availability
53,dc,DC2,ICU,1,supply_availability
54,dc,DC2,PPE,1,supply_availability
55,dc,DC2,AVD,1,supply_availability
56,supplier,S1,VNT,0,supply_availability
57,supplier,S1,ICU,0,supply_availability
58,supplier,S1,PPE,0,supply_availability
59,supplier,S1,AVD,0,supply_availability
60,supplier,S2,VNT,1,supply_availability
61,supplier,S2,ICU,1,supply_availability
62,supplier,S2,PPE,1,supply_availability
63,supplier,S2,AVD,1,supply_availability
