date,node_id,region,ccn,node_name,address,city,zip,hospital_subtype,fips_code,geocoded_hospital_address,hhs_ids,publication_date,is_metro_micro,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hosp_confirmed_suspected_covid_7d_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hosp_confirmed_suspected_covid_7d_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_suspected_covid_7d_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum,total_patients_hospitalized_confirmed_influenza_7_day_sum,icu_patients_confirmed_influenza_7_day_sum,total_patients_hosp_confirmed_influenza_and_covid_7d_sum,total_beds_7_day_coverage,all_adult_hospital_beds_7_day_coverage,all_adult_hospital_inpatient_beds_7_day_coverage,inpatient_beds_used_7_day_coverage,all_adult_hospital_inpatient_bed_occupied_7_day_coverage,total_adult_patients_hosp_confirmed_suspected_covid_7d_cov,total_adult_patients_hospitalized_confirmed_covid_7_day_coverage,total_pediatric_patients_hosp_confirmed_suspected_covid_7d_cov,total_pediatric_patients_hosp_confirmed_covid_7d_cov,inpatient_beds_7_day_coverage,total_icu_beds_7_day_coverage,total_staffed_adult_icu_beds_7_day_coverage,icu_beds_used_7_day_coverage,staffed_adult_icu_bed_occupancy_7_day_coverage,staffed_icu_adult_patients_confirmed_suspected_covid_7d_cov,staffed_icu_adult_patients_confirmed_covid_7_day_coverage,total_patients_hospitalized_confirmed_influenza_7_day_coverage,icu_patients_confirmed_influenza_7_day_coverage,total_patients_hosp_confirmed_influenza_and_covid_7d_cov,previous_day_admission_adult_covid_confirmed_7_day_sum,previous_day_admission_adult_covid_confirmed_18_19_7_day_sum,previous_day_admission_adult_covid_confirmed_20_29_7_day_sum,previous_day_admission_adult_covid_confirmed_30_39_7_day_sum,previous_day_admission_adult_covid_confirmed_40_49_7_day_sum,previous_day_admission_adult_covid_confirmed_50_59_7_day_sum,previous_day_admission_adult_covid_confirmed_60_69_7_day_sum,previous_day_admission_adult_covid_confirmed_70_79_7_day_sum,previous_day_admission_adult_covid_confirmed_80plus_7_day_sum,previous_day_admission_adult_covid_confirmed_unknown_7_day_sum,previous_day_admission_pediatric_covid_confirmed_7_day_sum,previous_day_covid_ed_visits_7_day_sum,previous_day_admission_adult_covid_suspected_7_day_sum,previous_day_admission_adult_covid_suspected_18_19_7_day_sum,previous_day_admission_adult_covid_suspected_20_29_7_day_sum,previous_day_admission_adult_covid_suspected_30_39_7_day_sum,previous_day_admission_adult_covid_suspected_40_49_7_day_sum,previous_day_admission_adult_covid_suspected_50_59_7_day_sum,previous_day_admission_adult_covid_suspected_60_69_7_day_sum,previous_day_admission_adult_covid_suspected_70_79_7_day_sum,previous_day_admission_adult_covid_suspected_80plus_7_day_sum,previous_day_admission_adult_covid_suspected_unknown_7_day_sum,previous_day_admission_pediatric_covid_suspected_7_day_sum,previous_day_total_ed_visits_7_day_sum,previous_day_admission_influenza_confirmed_7_day_sum,is_corrected,previous_day_admission_adult_covid_confirmed_7_day_coverage,previous_day_admission_adult_covid_suspected_7_day_coverage,previous_day_admission_pediatric_covid_confirmed_7_day_coverage,previous_day_admission_pediatric_covid_suspected_7_day_coverage,previous_week_patients_covid_vaccinated_doses_all_7_day,previous_week_patients_covid_vaccinated_doses_all_7_day_sum,previous_week_patients_covid_vaccinated_doses_one_7_day,previous_week_patients_covid_vaccinated_doses_one_7_day_sum,previous_week_personnel_covid_vaccd_doses_administered_7_day,previous_week_personnel_covid_vaccd_doses_administered_7_day_sum,total_personnel_covid_vaccinated_doses_all_7_day,total_personnel_covid_vaccinated_doses_all_7_day_sum,total_personnel_covid_vaccinated_doses_none_7_day,total_personnel_covid_vaccinated_doses_none_7_day_sum,total_personnel_covid_vaccinated_doses_one_7_day,total_personnel_covid_vaccinated_doses_one_7_day_sum,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hosp_confirmed_suspected_covid_7d_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hosp_confirmed_suspected_covid_7d_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_suspected_covid_7d_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hosp_confirmed_influenza_and_covid_7d_avg,_observed_total_staffed_adult_icu_beds_7_day_avg,_observed_staffed_adult_icu_bed_occupancy_7_day_avg,_observed_staffed_icu_adult_patients_confirmed_covid_7_day_avg,_observed_previous_day_admission_adult_covid_confirmed_7_day_sum,_observed_previous_day_admission_adult_covid_suspected_7_day_sum
2020-11-06,050025,CA,50025.0,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,,,92103.0,,6073.0,,,20230623.0,1.0,6594.0,5649.0,4669.0,4336.0,4016.0,242.0,225.0,,0.0,5614.0,1274.0,791.0,868.0,666.0,83.0,80.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,10.0,,,,0.0,,,,0.0,0.0,0.0,383.0,13.0,0.0,,0.0,,,5.0,,0.0,0.0,0.0,1347.0,0.0,0.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,942.0,807.0,667.0,619.4,573.7,34.6,32.1,,0.0,802.0,182.0,113.0,124.0,95.1,11.9,11.4,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2020-11-13,050025,CA,50025.0,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,,,92103.0,,6073.0,,,20230623.0,1.0,6594.0,5649.0,4669.0,4324.0,4025.0,270.0,244.0,0.0,0.0,5614.0,1274.0,791.0,864.0,679.0,99.0,94.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,18.0,0.0,0.0,,,,8.0,,,0.0,0.0,483.0,15.0,0.0,,,,6.0,,,,0.0,0.0,1395.0,0.0,0.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,942.0,807.0,667.0,617.7,575.0,38.6,34.9,0.0,0.0,802.0,182.0,113.0,123.4,97.0,14.1,13.4,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2020-11-20,050025,CA,50025.0,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,,,92103.0,,6073.0,,,20230623.0,1.0,6594.0,5649.0,4669.0,4342.0,4043.0,370.0,348.0,,0.0,5608.0,1274.0,791.0,856.0,689.0,131.0,121.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,0.0,,,,,,,0.0,0.0,0.0,390.0,15.0,0.0,,,,4.0,,,,0.0,,1421.0,0.0,0.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,942.0,807.0,667.0,620.3,577.6,52.9,49.7,,0.0,801.1,182.0,113.0,122.3,98.4,18.7,17.3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2020-11-27,050025,CA,50025.0,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,,,92103.0,,6073.0,,,20230623.0,1.0,6591.0,5651.0,4671.0,4288.0,3972.0,375.0,359.0,,,5611.0,1297.0,791.0,854.0,647.0,135.0,133.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,16.0,0.0,,,,,6.0,,,0.0,0.0,393.0,9.0,0.0,0.0,0.0,4.0,,0.0,,,0.0,0.0,1349.0,0.0,0.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,941.6,807.3,667.3,612.6,567.4,53.6,51.3,,,801.6,185.3,113.0,122.0,92.4,19.3,19.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2020-12-04,050025,CA,50025.0,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,,,92103.0,,6073.0,,,20230623.0,1.0,7103.0,6193.0,4697.0,4301.0,3951.0,409.0,386.0,,,5607.0,1443.0,799.0,906.0,675.0,169.0,165.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,24.0,,,,,5.0,6.0,4.0,,0.0,0.0,396.0,9.0,0.0,,,,,,,,0.0,0.0,1310.0,0.0,0.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,1014.7,884.7,671.0,614.4,564.4,58.4,55.1,,,801.0,206.1,114.1,129.4,96.4,24.1,23.6,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2020-12-11,050025,CA,50025.0,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,,,92103.0,,6073.0,,,20230623.0,1.0,6824.0,6225.0,4643.0,4020.0,3775.0,535.0,511.0,,0.0,5242.0,1249.0,773.0,908.0,675.0,204.0,195.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,37.0,0.0,5.0,5.0,5.0,8.0,7.0,4.0,,0.0,0.0,476.0,11.0,0.0,0.0,,0.0,0.0,5.0,,,0.0,,1446.0,0.0,0.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,974.9,889.3,663.3,574.3,539.3,76.4,73.0,,0.0,748.9,178.4,110.4,129.7,96.4,29.1,27.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2020-12-18,050025,CA,50025.0,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,,,92103.0,,6073.0,,,20230623.0,1.0,6085.0,5509.0,4558.0,3841.0,3647.0,700.0,666.0,4.0,0.0,5134.0,1184.0,707.0,804.0,610.0,230.0,221.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,43.0,0.0,,5.0,4.0,6.0,13.0,10.0,4.0,0.0,0.0,502.0,16.0,0.0,,5.0,,,,,,0.0,0.0,1376.0,0.0,0.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,869.3,787.0,651.1,548.7,521.0,100.0,95.1,,0.0,733.4,169.1,101.0,114.9,87.1,32.9,31.6,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2020-12-25,050025,CA,50025.0,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,,,92103.0,,6073.0,,,20230623.0,1.0,5852.0,5292.0,4508.0,3665.0,3496.0,862.0,825.0,0.0,0.0,5068.0,1183.0,707.0,796.0,627.0,322.0,317.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,43.0,,,7.0,,15.0,10.0,,,0.0,0.0,512.0,19.0,,,0.0,,5.0,,4.0,4.0,0.0,0.0,1443.0,0.0,0.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,836.0,756.0,644.0,523.6,499.4,123.1,117.9,0.0,0.0,724.0,169.0,101.0,113.7,89.6,46.0,45.3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2021-01-01,050025,CA,50025.0,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,,,92103.0,,6073.0,,,20230623.0,1.0,5852.0,5292.0,4508.0,3948.0,3763.0,937.0,903.0,,0.0,5068.0,1183.0,707.0,838.0,653.0,301.0,291.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,48.0,0.0,4.0,9.0,,5.0,13.0,9.0,5.0,0.0,0.0,535.0,18.0,0.0,,,,4.0,4.0,,,0.0,0.0,1361.0,0.0,0.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,836.0,756.0,644.0,564.0,537.6,133.9,129.0,,0.0,724.0,169.0,101.0,119.7,93.3,43.0,41.6,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2021-01-08,050025,CA,50025.0,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,,,92103.0,,6073.0,,,20230623.0,1.0,5853.0,5293.0,4509.0,4003.0,3835.0,1078.0,1051.0,,0.0,5069.0,1184.0,708.0,833.0,665.0,308.0,301.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,37.0,0.0,,4.0,5.0,6.0,9.0,4.0,6.0,0.0,0.0,520.0,14.0,0.0,,,0.0,,,5.0,,0.0,0.0,1394.0,0.0,0.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,836.1,756.1,644.1,571.9,547.9,154.0,150.1,,0.0,724.1,169.1,101.1,119.0,95.0,44.0,43.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
