index,kind,entity,resource,region
0,hospital,H1,VNT,0
1,hospital,H1,ICU,0
2,hospital,H1,PPE,0
3,hospital,H1,AVD,0
4,hospital,H2,VNT,0
5,hospital,H2,ICU,0
6,hospital,H2,PPE,0
7,hospital,H2,AVD,0
8,hospital,H3,VNT,0
9,hospital,H3,ICU,0
10,hospital,H3,PPE,0
11,hospital,H3,AVD,0
12,hospital,H4,VNT,0
13,hospital,H4,ICU,0
14,hospital,H4,PPE,0
15,hospital,H4,AVD,0
16,hospital,H5,VNT,0
17,hospital,H5,ICU,0
18,hospital,H5,PPE,0
19,hospital,H5,AVD,0
20,hospital,H6,VNT,0
21,hospital,H6,ICU,0
22,hospital,H6,PPE,0
23,hospital,H6,AVD,0
24,hospital,H7,VNT,1
25,hospital,H7,ICU,1
26,hospital,H7,PPE,1
27,hospital,H7,AVD,1
28,hospital,H8,VNT,1
29,hospital,H8,ICU,1
30,hospital,H8,PPE,1
31,hospital,H8,AVD,1
32,hospital,H9,VNT,1
33,hospital,H9,ICU,1
34,hospital,H9,PPE,1
35,hospital,H9,AVD,1
36,hospital,H10,VNT,1
37,hospital,H10,ICU,1
38,hospital,H10,PPE,1
39,hospital,H10,AVD,1
40,hospital,H11,VNT,1
41,hospital,H11,ICU,1
42,hospital,H11,PPE,1
43,hospital,H11,AVD,1
44,hospital,H12,VNT,1
45,hospital,H12,ICU,1
46,hospital,H12,PPE,1
47,hospital,H12,AVD,1
48,dc,DC1,VNT,0
49,dc,DC1,ICU,0
50,dc,DC1,PPE,0
51,dc,DC1,AVD,0
52,dc,DC2,VNT,1
53,dc,DC2,ICU,1
54,dc,DC2,PPE,1
55,dc,DC2,AVD,1
56,supplier,S1,VNT,0
57,supplier,S1,ICU,0
58,supplier,S1,PPE,0
59,supplier,S1,AVD,0
60,supplier,S2,VNT,1
61,supplier,S2,ICU,1
62,supplier,S2,PPE,1
63,supplier,S2,AVD,1
