index,kind,entity,resource,region
0,hospital,H1,MV support,0
1,hospital,H1,Critical care,0
2,hospital,H1,G&A beds,0
3,hospital,H2,MV support,0
4,hospital,H2,Critical care,0
5,hospital,H2,G&A beds,0
6,hospital,H3,MV support,0
7,hospital,H3,Critical care,0
8,hospital,H3,G&A beds,0
9,hospital,H4,MV support,0
10,hospital,H4,Critical care,0
11,hospital,H4,G&A beds,0
12,hospital,H5,MV support,0
13,hospital,H5,Critical care,0
14,hospital,H5,G&A beds,0
15,hospital,H6,MV support,0
16,hospital,H6,Critical care,0
17,hospital,H6,G&A beds,0
18,hospital,H7,MV support,1
19,hospital,H7,Critical care,1
20,hospital,H7,G&A beds,1
21,hospital,H8,MV support,1
22,hospital,H8,Critical care,1
23,hospital,H8,G&A beds,1
24,hospital,H9,MV support,1
25,hospital,H9,Critical care,1
26,hospital,H9,G&A beds,1
27,hospital,H10,MV support,1
28,hospital,H10,Critical care,1
29,hospital,H10,G&A beds,1
30,hospital,H11,MV support,1
31,hospital,H11,Critical care,1
32,hospital,H11,G&A beds,1
33,hospital,H12,MV support,1
34,hospital,H12,Critical care,1
35,hospital,H12,G&A beds,1
36,dc,DC1,MV support,0
37,dc,DC1,Critical care,0
38,dc,DC1,G&A beds,0
39,dc,DC2,MV support,1
40,dc,DC2,Critical care,1
41,dc,DC2,G&A beds,1
42,supplier,S1,MV support,0
43,supplier,S1,Critical care,0
44,supplier,S1,G&A beds,0
45,supplier,S2,MV support,1
46,supplier,S2,Critical care,1
47,supplier,S2,G&A beds,1
