date,node_id,region,node_name,admissions,all_beds_covid,mv_covid,ga_covid,ga_noncovid,ga_unoccupied,cc_covid,cc_noncovid,cc_unoccupied,ga_capacity,cc_capacity,_observed_admissions,_observed_all_beds_covid,_observed_mv_covid,_observed_ga_covid,_observed_ga_noncovid,_observed_ga_unoccupied,_observed_cc_covid,_observed_cc_noncovid,_observed_cc_unoccupied,mv_capacity_proxy
2020-11-17,R1H,London,BARTS HEALTH NHS TRUST,20.0,166.0,33.0,115.0,1111.0,77.0,51.0,89.0,38.0,1303.0,178.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,178.0
2020-11-18,R1H,London,BARTS HEALTH NHS TRUST,25.0,161.0,34.0,111.0,1107.0,94.0,50.0,99.0,31.0,1312.0,180.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,180.0
2020-11-19,R1H,London,BARTS HEALTH NHS TRUST,29.0,160.0,32.0,113.0,1112.0,80.0,47.0,92.0,37.0,1305.0,176.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,176.0
2020-11-20,R1H,London,BARTS HEALTH NHS TRUST,9.0,169.0,34.0,117.0,1101.0,80.0,50.0,81.0,47.0,1298.0,178.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,178.0
2020-11-21,R1H,London,BARTS HEALTH NHS TRUST,25.0,191.0,39.0,133.0,1055.0,117.0,57.0,72.0,42.0,1305.0,171.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,171.0
2020-11-22,R1H,London,BARTS HEALTH NHS TRUST,23.0,191.0,36.0,135.0,1068.0,104.0,54.0,82.0,43.0,1307.0,179.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,179.0
2020-11-23,R1H,London,BARTS HEALTH NHS TRUST,12.0,201.0,34.0,156.0,1001.0,143.0,44.0,88.0,41.0,1300.0,173.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,173.0
2020-11-24,R1H,London,BARTS HEALTH NHS TRUST,20.0,202.0,36.0,155.0,1071.0,84.0,46.0,94.0,39.0,1310.0,179.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,179.0
2020-11-25,R1H,London,BARTS HEALTH NHS TRUST,24.0,196.0,38.0,141.0,1111.0,51.0,55.0,92.0,37.0,1303.0,184.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,184.0
2020-11-26,R1H,London,BARTS HEALTH NHS TRUST,25.0,202.0,41.0,147.0,1064.0,69.0,54.0,87.0,37.0,1280.0,178.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,178.0
