model,ambiguity_stratum,ambiguity_threshold,metric,mean,ci_low,ci_high,n_panels,n_months
ACM-4 (coupled),Lower ambiguity,0.19832584377014256,allocation_overlap,0.0,0.0,0.0,9,6
ACM-4 (coupled),Lower ambiguity,0.19832584377014256,priority_overlap,0.027881642287978688,0.018181347486983954,0.04031561021588129,9,6
ACM-4 (coupled),Lower ambiguity,0.19832584377014256,ndcg_all,0.21770412831568084,0.19166907843987788,0.2685354344773219,9,6
ACM-4 (coupled),Higher ambiguity,0.19832584377014256,allocation_overlap,0.01621497473587506,0.0,0.03459347726228755,9,5
ACM-4 (coupled),Higher ambiguity,0.19832584377014256,priority_overlap,0.035900876487731576,0.020688236122274894,0.04971991664582996,9,5
ACM-4 (coupled),Higher ambiguity,0.19832584377014256,ndcg_all,0.24780910815293977,0.22428953364298207,0.2703676332050239,9,5
ACM-4 (independent),Lower ambiguity,0.19832584377014256,allocation_overlap,0.0,0.0,0.0,9,6
ACM-4 (independent),Lower ambiguity,0.19832584377014256,priority_overlap,0.027886417297492958,0.018316473384295515,0.04033774686191809,9,6
ACM-4 (independent),Lower ambiguity,0.19832584377014256,ndcg_all,0.21770412831568084,0.19079726137908906,0.2684117655717349,9,6
ACM-4 (independent),Higher ambiguity,0.19832584377014256,allocation_overlap,0.01621497473587506,0.0,0.03459347726228755,9,5
ACM-4 (independent),Higher ambiguity,0.19832584377014256,priority_overlap,0.03589810641143989,0.020686015589819088,0.04907295051386843,9,5
ACM-4 (independent),Higher ambiguity,0.19832584377014256,ndcg_all,0.2476589911629505,0.22542653890848788,0.2702325279140335,9,5
ACM-3,Lower ambiguity,0.19832584377014256,allocation_overlap,0.0,0.0,0.0,9,6
ACM-3,Lower ambiguity,0.19832584377014256,priority_overlap,0.02804412525045536,0.017839998715985756,0.040316307527399176,9,6
ACM-3,Lower ambiguity,0.19832584377014256,ndcg_all,0.21808838488232704,0.19185659602850835,0.27037913604718067,9,6
ACM-3,Higher ambiguity,0.19832584377014256,allocation_overlap,0.01621497473587506,0.0,0.03459347726228755,9,5
ACM-3,Higher ambiguity,0.19832584377014256,priority_overlap,0.03607760821674645,0.0208192629772435,0.04993558643933082,9,5
ACM-3,Higher ambiguity,0.19832584377014256,ndcg_all,0.24900137278850862,0.2278739733976251,0.27103972161708756,9,5
ACM-2,Lower ambiguity,0.19832584377014256,allocation_overlap,0.0,0.0,0.0,9,6
ACM-2,Lower ambiguity,0.19832584377014256,priority_overlap,0.028016643202948364,0.018233248295110308,0.04070452768921485,9,6
ACM-2,Lower ambiguity,0.19832584377014256,ndcg_all,0.21803750249439152,0.1927642441816526,0.26962461857989034,9,6
ACM-2,Higher ambiguity,0.19832584377014256,allocation_overlap,0.01621497473587506,0.0,0.03459347726228755,9,5
ACM-2,Higher ambiguity,0.19832584377014256,priority_overlap,0.03592381424231,0.020744258307451528,0.04899273470465047,9,5
ACM-2,Higher ambiguity,0.19832584377014256,ndcg_all,0.24871083094383334,0.22749204793509703,0.27060956237947914,9,5
FCM,Lower ambiguity,0.19832584377014256,allocation_overlap,0.0,0.0,0.0,9,6
FCM,Lower ambiguity,0.19832584377014256,priority_overlap,0.033476812664516596,0.02209467915774911,0.04770430678572685,9,6
FCM,Lower ambiguity,0.19832584377014256,ndcg_all,0.22067987662596378,0.19361029404745236,0.27268573320377,9,6
FCM,Higher ambiguity,0.19832584377014256,allocation_overlap,0.005103863624763946,0.0,0.013780431786862654,9,5
FCM,Higher ambiguity,0.19832584377014256,priority_overlap,0.03379403923654604,0.01712657368233511,0.050116193040101786,9,5
FCM,Higher ambiguity,0.19832584377014256,ndcg_all,0.25372623886267154,0.2386048960716478,0.2717909084830604,9,5
Calibrated scalar,Lower ambiguity,0.19832584377014256,allocation_overlap,0.036231884057971016,0.0,0.16304347826086957,9,6
Calibrated scalar,Lower ambiguity,0.19832584377014256,priority_overlap,0.03850987944715925,0.0008460421343267961,0.1656237962205159,9,6
Calibrated scalar,Lower ambiguity,0.19832584377014256,ndcg_all,0.3839999158428134,0.27246028041422793,0.5657865302455648,9,6
Calibrated scalar,Higher ambiguity,0.19832584377014256,allocation_overlap,0.1845609434033871,0.0,0.3649812138558119,9,5
Calibrated scalar,Higher ambiguity,0.19832584377014256,priority_overlap,0.05649732470116869,0.00023760819952889167,0.13087824233300333,9,5
Calibrated scalar,Higher ambiguity,0.19832584377014256,ndcg_all,0.36252590173846905,0.2523301750286516,0.5251572323141623,9,5
Demand proportional,Lower ambiguity,0.19832584377014256,allocation_overlap,0.0,0.0,0.0,9,6
Demand proportional,Lower ambiguity,0.19832584377014256,priority_overlap,0.023720732229847337,0.01341817404124482,0.03825248663918276,9,6
Demand proportional,Lower ambiguity,0.19832584377014256,ndcg_all,0.26419859923431116,0.22557280245395608,0.3158018894106923,9,6
Demand proportional,Higher ambiguity,0.19832584377014256,allocation_overlap,0.10175010175010174,0.0,0.27472527472527475,9,5
Demand proportional,Higher ambiguity,0.19832584377014256,priority_overlap,0.10797487095156717,0.04051191033462883,0.1551432308782157,9,5
Demand proportional,Higher ambiguity,0.19832584377014256,ndcg_all,0.4589490185530491,0.308630918287526,0.5785787017247246,9,5
Robust priority,Lower ambiguity,0.19832584377014256,allocation_overlap,0.0,0.0,0.0,9,6
Robust priority,Lower ambiguity,0.19832584377014256,priority_overlap,0.022104776313107574,0.010290132159233908,0.04549965065403761,9,6
Robust priority,Lower ambiguity,0.19832584377014256,ndcg_all,0.21156028949065633,0.1860938998821834,0.2572391456392658,9,6
Robust priority,Higher ambiguity,0.19832584377014256,allocation_overlap,0.01621497473587506,0.0,0.03459347726228755,9,5
Robust priority,Higher ambiguity,0.19832584377014256,priority_overlap,0.030127544025826458,0.015287965651915054,0.039402952484176954,9,5
Robust priority,Higher ambiguity,0.19832584377014256,ndcg_all,0.23606748468317523,0.20393571149843384,0.2584068906601312,9,5
Equal allocation,Lower ambiguity,0.19832584377014256,allocation_overlap,0.0,0.0,0.0,9,6
Equal allocation,Lower ambiguity,0.19832584377014256,priority_overlap,0.03719454987473503,0.024153063006612095,0.053673018500465415,9,6
Equal allocation,Lower ambiguity,0.19832584377014256,ndcg_all,0.3088886908096893,0.26333754295313155,0.358797948064754,9,6
Equal allocation,Higher ambiguity,0.19832584377014256,allocation_overlap,0.10175010175010174,0.0,0.27472527472527475,9,5
Equal allocation,Higher ambiguity,0.19832584377014256,priority_overlap,0.033101007637168944,0.015518731329517744,0.05055733868247936,9,5
Equal allocation,Higher ambiguity,0.19832584377014256,ndcg_all,0.23455671087231464,0.1791813964703799,0.30409461390577497,9,5
