product,timestamp,split,model,iterations,convergence_gap,active_nodes,operator_scale,operator_norm,contraction_bound
n95,2020-04-01 00:00:00+00:00,calibration,ACM-4 (coupled),6,6.287621802786303e-05,6,0.9950009164681578,1.3366336633663365,0.36122697312326535
n95,2020-04-23 00:00:00+00:00,calibration,ACM-4 (coupled),4,1.7108606482629796e-06,1503,0.09438105431486063,1.3366336633663367,0.3612269731232654
n95,2020-04-25 00:00:00+00:00,calibration,ACM-4 (coupled),3,5.4864783407548856e-05,1770,0.08635859367604602,1.3366336633663367,0.3612269731232654
n95,2020-04-29 00:00:00+00:00,calibration,ACM-4 (coupled),3,5.502996146605765e-05,2141,0.07887828703093842,1.3366336633663367,0.3612269731232654
n95,2020-05-01 00:00:00+00:00,calibration,ACM-4 (coupled),3,2.1981092271139424e-05,2321,0.07586145361854081,1.3366336633663367,0.3612269731232654
n95,2020-05-08 00:00:00+00:00,calibration,ACM-4 (coupled),3,2.6711959311309652e-05,2388,0.0748510300504464,1.336633663366337,0.36122697312326546
n95,2020-05-15 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.243280235049051e-05,2405,0.074650428232279,1.3366336633663367,0.3612269731232654
n95,2020-05-18 00:00:00+00:00,calibration,ACM-4 (coupled),3,2.382175363291328e-05,2409,0.07461502949463107,1.3366336633663367,0.3612269731232654
n95,2020-05-25 00:00:00+00:00,calibration,ACM-4 (coupled),3,2.757770046102337e-05,2423,0.0743988129779527,1.3366336633663365,0.36122697312326535
n95,2020-05-26 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.8336019741957994e-05,2424,0.07439384407844513,1.3366336633663367,0.3612269731232654
n95,2020-05-26 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.431940013398638e-05,2424,0.07439384407844513,1.3366336633663367,0.3612269731232654
n95,2020-05-26 00:00:00+00:00,calibration,ACM-4 (coupled),1,5.830587825328415e-07,2424,0.07439384407844513,1.3366336633663367,0.3612269731232654
n95,2020-05-26 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.565708281838553e-05,2424,0.07439384407844513,1.3366336633663367,0.3612269731232654
n95,2020-05-26 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.566632922202828e-05,2424,0.07439384407844513,1.3366336633663367,0.3612269731232654
n95,2020-05-26 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.549403823360775e-05,2424,0.07439384407844513,1.3366336633663367,0.3612269731232654
n95,2020-05-26 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.4991577337217805e-05,2424,0.07439384407844513,1.3366336633663367,0.3612269731232654
n95,2020-05-26 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.5200524634515507e-05,2424,0.07439384407844513,1.3366336633663367,0.3612269731232654
n95,2020-05-26 00:00:00+00:00,calibration,ACM-4 (coupled),3,1.0264752571431668e-05,2424,0.07439384407844513,1.3366336633663367,0.3612269731232654
n95,2020-05-26 00:00:00+00:00,calibration,ACM-4 (coupled),3,2.4101141414656357e-05,2424,0.07439384407844513,1.3366336633663367,0.3612269731232654
n95,2020-05-26 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.553574594472586e-05,2424,0.07439384407844513,1.3366336633663367,0.3612269731232654
n95,2020-05-27 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.6400320489682336e-05,2426,0.07435472192807391,1.3366336633663365,0.36122697312326535
n95,2020-05-27 00:00:00+00:00,calibration,ACM-4 (coupled),3,2.8011679115869104e-05,2426,0.07435472192807391,1.3366336633663365,0.36122697312326535
n95,2020-05-27 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.4288021033168636e-05,2426,0.07435472192807391,1.3366336633663365,0.36122697312326535
n95,2020-05-27 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.40584601631333e-05,2426,0.07435472192807391,1.3366336633663365,0.36122697312326535
n95,2020-05-27 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.6152916568665816e-05,2426,0.07435472192807391,1.3366336633663365,0.36122697312326535
n95,2020-05-27 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.4955293497007656e-05,2426,0.07435472192807391,1.3366336633663365,0.36122697312326535
n95,2020-05-27 00:00:00+00:00,calibration,ACM-4 (coupled),1,4.423242931728133e-05,2426,0.07435472192807391,1.3366336633663365,0.36122697312326535
n95,2020-05-27 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.563521096155986e-05,2426,0.07435472192807391,1.3366336633663365,0.36122697312326535
n95,2020-05-27 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.56255873835698e-05,2426,0.07435472192807391,1.3366336633663365,0.36122697312326535
n95,2020-05-27 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.5634797872496904e-05,2426,0.07435472192807391,1.3366336633663365,0.36122697312326535
n95,2020-05-28 00:00:00+00:00,calibration,ACM-4 (coupled),3,4.453337830867543e-05,2427,0.0743497568004257,1.3366336633663367,0.3612269731232654
n95,2020-05-28 00:00:00+00:00,calibration,ACM-4 (coupled),1,2.8785195932412577e-06,2427,0.0743497568004257,1.3366336633663367,0.3612269731232654
n95,2020-05-28 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.563023354952177e-05,2427,0.0743497568004257,1.3366336633663367,0.3612269731232654
n95,2020-05-28 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.5620592660545736e-05,2427,0.0743497568004257,1.3366336633663367,0.3612269731232654
n95,2020-05-28 00:00:00+00:00,calibration,ACM-4 (coupled),1,1.9190131081980866e-06,2427,0.0743497568004257,1.3366336633663367,0.3612269731232654
n95,2020-05-28 00:00:00+00:00,calibration,ACM-4 (coupled),1,6.845888312889681e-05,2427,0.0743497568004257,1.3366336633663367,0.3612269731232654
n95,2020-05-28 00:00:00+00:00,calibration,ACM-4 (coupled),1,6.826423699413109e-05,2427,0.0743497568004257,1.3366336633663367,0.3612269731232654
n95,2020-05-28 00:00:00+00:00,calibration,ACM-4 (coupled),1,5.3873147304539515e-05,2427,0.0743497568004257,1.3366336633663367,0.3612269731232654
n95,2020-05-28 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.56322940981979e-05,2427,0.0743497568004257,1.3366336633663367,0.3612269731232654
n95,2020-05-28 00:00:00+00:00,calibration,ACM-4 (coupled),3,2.7786094414894436e-05,2427,0.0743497568004257,1.3366336633663367,0.3612269731232654
n95,2020-05-28 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.6215779653125946e-05,2427,0.0743497568004257,1.3366336633663367,0.3612269731232654
n95,2020-05-28 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.617708297198874e-05,2427,0.0743497568004257,1.3366336633663367,0.3612269731232654
n95,2020-05-28 00:00:00+00:00,calibration,ACM-4 (coupled),3,2.773219748780642e-05,2427,0.0743497568004257,1.3366336633663367,0.3612269731232654
n95,2020-05-28 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.562193787387535e-05,2427,0.0743497568004257,1.3366336633663367,0.3612269731232654
n95,2020-05-28 00:00:00+00:00,calibration,ACM-4 (coupled),1,4.477701907168452e-05,2427,0.0743497568004257,1.3366336633663367,0.3612269731232654
n95,2020-05-28 00:00:00+00:00,calibration,ACM-4 (coupled),1,4.125131896737244e-05,2427,0.0743497568004257,1.3366336633663367,0.3612269731232654
n95,2020-05-29 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.717582430462496e-05,2429,0.07431487728445564,1.3366336633663367,0.3612269731232654
n95,2020-05-29 00:00:00+00:00,calibration,ACM-4 (coupled),3,3.694788603769705e-05,2429,0.07431487728445564,1.3366336633663367,0.3612269731232654
n95,2020-05-30 00:00:00+00:00,calibration,ACM-4 (coupled),3,4.7711725558730045e-05,2449,0.07397274883226027,1.3366336633663365,0.36122697312326535
n95,2020-05-30 00:00:00+00:00,calibration,ACM-4 (coupled),1,5.1875012908930707e-05,2449,0.07397274883226027,1.3366336633663365,0.36122697312326535
n95,2020-05-30 00:00:00+00:00,calibration,ACM-4 (coupled),1,5.14977779452197e-05,2449,0.07397274883226027,1.3366336633663365,0.36122697312326535
