context,threshold,stratum,model,n_product_week_panels,operational_score,service_level,recipient_coverage,fill_gini,unit_miles,holding_days
Feature ambiguity,0.2657980401944221,Lower,ACM-4 (coupled),5,0.19946677722803766,0.010121441716829407,0.014754816543991208,0.9943618894629764,29.913016666666657,4.7369718364197535
Feature ambiguity,0.2657980401944221,Lower,ACM-4 (independent),5,0.19946677722803766,0.010121441716829407,0.014754816543991208,0.9943618894629764,29.913016666666657,4.7369718364197535
Feature ambiguity,0.2657980401944221,Lower,ACM-3,5,0.19949531686079836,0.010121441716829407,0.014871108976955321,0.994364556840378,29.913016666666657,4.7369718364197535
Feature ambiguity,0.2657980401944221,Lower,ACM-2,5,0.19946756070695762,0.010121441716829407,0.014787924124692094,0.9943993565442529,29.913016666666657,4.7369718364197535
Feature ambiguity,0.2657980401944221,Lower,Proximity,5,0.18867447011298738,0.009741023100781055,0.08063069349319647,0.9379405016283517,13.96340878702902,28.10340843620829
Feature ambiguity,0.2657980401944221,Lower,Demand proportional,5,0.17714657211425938,0.010121441716829407,0.000423734109869568,0.9996475397669936,560.32215,4.7369718364197535
Feature ambiguity,0.2657980401944221,Lower,Equal allocation,5,0.2032609597296126,0.010121441716829407,0.028270390389019084,0.9912197137058311,36.307399999999994,4.7369718364197535
Feature ambiguity,0.2657980401944221,Higher,ACM-4 (coupled),6,0.20107684861184702,0.009637560358413766,0.01400187179799442,0.9946260350374684,20.582368890382664,3.7112876955540055
Feature ambiguity,0.2657980401944221,Higher,ACM-4 (independent),6,0.20107684861184702,0.009637560358413766,0.01400187179799442,0.9946260350374684,20.582368890382664,3.7112876955540055
Feature ambiguity,0.2657980401944221,Higher,ACM-3,6,0.20110056887322422,0.009637560358413766,0.014098220770631727,0.994627869946379,20.582368890382664,3.7112876955540055
Feature ambiguity,0.2657980401944221,Higher,ACM-2,6,0.2010776323641008,0.009637560358413766,0.014029329236273752,0.9946564380740485,20.582368890382664,3.7112876955540055
Feature ambiguity,0.2657980401944221,Higher,Proximity,6,0.17778424138571017,0.009323750094812512,0.07796302382993782,0.9406637175359612,12.582875365542792,33.85059265134902
Feature ambiguity,0.2657980401944221,Higher,Demand proportional,6,0.14765831252557088,0.009637560358413766,0.0004024434829390926,0.9996569177126643,1490.957443064576,3.7112876955540055
Feature ambiguity,0.2657980401944221,Higher,Equal allocation,6,0.20541080583762236,0.009637560358413766,0.028450038641933437,0.9909145628982469,21.193736281994077,3.7112876955540055
Supply scarcity,0.9999624666446998,Lower,ACM-4 (coupled),5,0.20059915544907883,0.010482865099755868,0.014651869801223774,0.994277688812043,20.408414463330992,4.318197924973199
Supply scarcity,0.9999624666446998,Lower,ACM-4 (independent),5,0.20059915544907883,0.010482865099755868,0.014651869801223774,0.994277688812043,20.408414463330992,4.318197924973199
Supply scarcity,0.9999624666446998,Lower,ACM-3,5,0.20062693811936416,0.010482865099755868,0.014766302645790874,0.9942818165163254,20.408414463330992,4.318197924973199
Supply scarcity,0.9999624666446998,Lower,ACM-2,5,0.20061324659001173,0.010482865099755868,0.014725427926804566,0.994299180764355,20.408414463330992,4.318197924973199
Supply scarcity,0.9999624666446998,Lower,Proximity,5,0.20450456589526533,0.010118057931812332,0.0815488330118562,0.9367102763590207,10.160851090824293,19.045927395400845
Supply scarcity,0.9999624666446998,Lower,Demand proportional,5,0.1585299376046058,0.010482865099755868,0.0003563608901994454,0.9996783978660074,1142.8643786410541,4.318197924973199
Supply scarcity,0.9999624666446998,Lower,Equal allocation,5,0.20538322495991618,0.010482865099755868,0.029635250112297524,0.9901917253771035,13.777462080903012,4.318197924973199
Supply scarcity,0.9999624666446998,Higher,ACM-4 (coupled),6,0.20013320009431268,0.00933637420597505,0.014087660750300615,0.9946962022465794,28.50287072649572,4.060265955092801
Supply scarcity,0.9999624666446998,Higher,ACM-4 (independent),6,0.20013320009431268,0.00933637420597505,0.014087660750300615,0.9946962022465794,28.50287072649572,4.060265955092801
Supply scarcity,0.9999624666446998,Higher,ACM-3,6,0.20015755115775272,0.00933637420597505,0.014185559379935436,0.9946968202164227,28.50287072649572,4.060265955092801
Supply scarcity,0.9999624666446998,Higher,ACM-2,6,0.20012289412822246,0.00933637420597505,0.014081409401180025,0.9947399178906299,28.50287072649572,4.060265955092801
Supply scarcity,0.9999624666446998,Higher,Proximity,6,0.1645924949004785,0.009009554402286447,0.07719790756438806,0.9416889052604036,15.751673445713402,41.39849351868857
Supply scarcity,0.9999624666446998,Higher,Demand proportional,6,0.16317217461694883,0.00933637420597505,0.0004585878326641948,0.9996312026301526,1005.5055858636978,4.060265955092801
Supply scarcity,0.9999624666446998,Higher,Equal allocation,6,0.20364225147903603,0.00933637420597505,0.027312655539201407,0.9917712198388532,39.96868454790823,4.060265955092801
