trial,mu_true,mu_partial,sigma_exact,sigma_partial,beta_partial,diagonal_memory,partial_to_exact,exact_to_partial,partial_self,physical_mix,partial_coefficient,temperature,operator_target_norm,lp_priority_weight,lp_demand_weight,lp_fairness_weight,lp_lead_weight,weight_demand,weight_backlog,weight_inventory,weight_route,weight_capacity,calibration_objective,calibration_raw_score,regularization_penalty,calibration_shortlist,validation_objective,selected
0,0.8571738581613163,0.6625078945076901,0.22597485343020998,0.2922105949721513,0.8860616498531773,0.49351598467421376,0.26001034334332873,0.17751594153009384,0.8327598888996707,0.5190275585626551,0.75,1.047683105805762,1.35,1.8,0.2,0.16,0.08,0.3396528853553028,2.098221533895468,0.7209318708136714,0.06629843050020381,0.3144279677619772,0.18740157117541292,0.18793696513751407,0.0005353939621011415,False,,False
1,0.8706236664621011,0.6640078281498554,0.2548395262989152,0.20753620065026726,0.8495707805621361,0.3987508385369098,0.21655890488287644,0.13148022893331038,0.8016765798451256,0.5484079678544492,0.75,0.9371507875090261,1.35,1.8,0.2,0.16,0.08,0.49087996302699816,1.3618265661568936,0.8127940212851761,1.8398862793364166,2.261193464022676,0.15082890119275613,0.151107934264775,0.0002790330720188617,False,,False
2,0.8350872677135706,0.6675523146152866,0.2648555940177403,0.20985632743399754,0.8970905677653905,0.3758180021730422,0.34055543211932315,0.07354016755789222,0.8186666343478403,0.4311531609320567,0.5,0.2274920350704181,1.35,1.8,0.2,0.16,0.08,1.8843065899600058,0.5496729791672189,0.7556454450386402,0.5499140988796052,1.93887706962543,0.1520902153974802,0.15254983987299664,0.0004596244755164622,False,,False
3,0.8335523000983329,0.670009043652633,0.26650251705709693,0.21374962899304067,0.8896784494086631,0.3483199679572019,0.35871375520271365,0.14317946334345535,0.8998620444621721,0.45189550783988713,0.75,0.2348884523082391,1.35,1.8,0.2,0.16,0.08,1.0813972495557997,0.3019848640239712,0.31422842064475115,1.7906167494657383,0.3140211967261251,0.14354850538398586,0.14408379626778647,0.0005352908838006166,False,,False
4,0.791238454197393,0.581872647336158,0.19484567219799215,0.2265859489265653,0.724947744535223,0.4026705482446713,0.24561254249166903,0.1757094459411369,0.8151227870823309,0.5003528399613897,0.75,0.23979829296536553,1.35,1.8,0.2,0.16,0.08,1.8928261018554824,0.9935558519191042,0.33686507205354776,0.5714516894119271,0.27422693289019856,0.14769668871791286,0.14800564779464542,0.0003089590767325551,False,,False
5,0.8296149757129682,0.6161972048287012,0.2612433166280534,0.23379831065368845,0.715102010214261,0.4726580476835309,0.2852680352963217,0.15630146693222619,0.8459338483160803,0.4239666061265771,0.5,1.4010812007694686,1.35,1.8,0.2,0.16,0.08,3.1385097881010333,0.6520971283875701,1.3932049298532565,1.538503033590208,2.4789323645771244,0.16040795112868278,0.16060221466381835,0.00019426353513556465,False,,False
6,0.8009661210357104,0.6272667269184939,0.2619875674861464,0.26268705415593996,0.9440202544861016,0.3600511178663057,0.3272458447811162,0.06323586520260667,0.8681954528968099,0.45980013235214573,0.25,0.9269939238361604,1.35,1.8,0.2,0.16,0.08,0.40631824685374784,2.985710965337817,2.6254853307957644,1.4531609696979524,2.647732514745309,0.15794248709372408,0.15836258549592305,0.00042009840219898564,False,,False
7,0.8341658485495936,0.652863990811303,0.25594397651780953,0.23365146226475816,0.7357888951636236,0.4085614220901268,0.3141248950777915,0.0939837272516709,0.8056298222020348,0.4124806711427223,0.5,0.8734095661722014,1.35,1.8,0.2,0.16,0.08,0.6789102459375727,0.5181964113459605,2.7654188120283774,0.4703299198375046,2.5975767558875416,0.16819881209778695,0.16838796669341483,0.00018915459562788433,False,,False
8,0.826596806275183,0.6749939545602983,0.18027547381203768,0.288725065258681,0.9354919438006544,0.39717864489975857,0.3459153272301755,0.11862194604629246,0.9210558440591277,0.40982350693140235,0.25,0.6116803561648267,1.35,1.8,0.2,0.16,0.08,0.45849752037061287,0.3886243219224793,3.126169222687435,0.07136285785615434,3.1219001934547,0.1943683851048848,0.1947110086645695,0.0003426235596846907,True,0.20050245920980939,False
9,0.8613375180060407,0.6370598288556171,0.24881153727988323,0.21813205813763878,0.7717629647754736,0.403640774615866,0.15872568295116607,0.14912636999822654,0.8445463246265794,0.4319510164469257,1.0,0.7251572115652426,1.35,1.8,0.2,0.16,0.08,2.58840866543895,0.8187895760241809,3.59201263840616,1.2592796657197691,1.1891997079444148,0.15808998438713306,0.15834832276942348,0.00025833838229041004,False,,False
10,0.7620451972446738,0.5682076764767665,0.18285602462266026,0.29980113333670416,0.8031206637024547,0.44863244070434904,0.1293910993914409,0.11181719967608536,0.9363940476683154,0.48392174972046614,0.25,0.49951494647448175,1.35,1.8,0.2,0.16,0.08,0.9814394492517676,0.2619852696457892,1.5850237845850337,0.05715367726022817,0.6716243159397322,0.1752046712356869,0.1757395540831636,0.0005348828474767038,False,,False
11,0.8541652990982113,0.6462415537410714,0.2191117704383465,0.2951367539860976,0.9472451559967426,0.4814795771896812,0.2626830734685785,0.17425591647392424,0.9219884146367785,0.5491393474627546,0.25,0.4804820465744113,1.35,1.8,0.2,0.16,0.08,0.2502768032105209,3.76891071220884,0.5541683631885831,0.06183745598104829,0.585667562643778,0.17919768900171795,0.17958959592336024,0.0003919069216422953,False,,False
12,0.8095367641666135,0.675968713679838,0.2243838874615655,0.2778325239298132,0.8904772028390862,0.44103626003626445,0.20304628143569625,0.11758906937195737,0.8868424487366878,0.513417144468539,1.0,1.3803560527453926,1.35,1.8,0.2,0.16,0.08,0.25223085467348316,2.0009418305682973,1.45087518795466,0.1155552569165889,3.807537648225281,0.19368823112580721,0.19390145907099793,0.00021322794519070437,True,0.20052377829023557,False
13,0.8053855953186421,0.6783867450353278,0.21046682119047994,0.2758226532103561,0.8463164280300062,0.4397725020670692,0.20090207046879258,0.12007757527578009,0.8874019930731715,0.47134079108497173,1.0,0.46001747436916557,1.35,1.8,0.2,0.16,0.08,0.6294779811241441,1.6206723070486557,1.617156544920632,0.13607079690291035,3.8412130517465704,0.16974966976640926,0.16998437372586547,0.000234703959456208,False,,False
14,0.8133136623045034,0.6776123697691565,0.23305857164911603,0.2668363523766666,0.9142199426696046,0.4416184590175187,0.18324971861860592,0.09722724470212007,0.9033998574130087,0.5178801994553619,1.0,0.32863874647998825,1.35,1.8,0.2,0.16,0.08,0.2507564884006627,0.4124813415922337,2.0441917345235896,0.14917212244457495,3.806327495594455,0.1680925813975758,0.16836761073096798,0.0002750293333921963,False,,False
15,0.7755538499213863,0.6064971295861961,0.20492255586905705,0.27933491457573517,0.8523035706998694,0.4320102675433231,0.30151705904126763,0.09841824275848643,0.8740636532371412,0.4028433856229202,1.0,1.357613256010474,1.35,1.8,0.2,0.16,0.08,0.3720866897013329,1.0954826794624875,1.110954278471162,0.12606513288679538,1.455198047477017,0.19395954438196641,0.19416236581648091,0.0002028214345144968,True,0.20041450886367373,False
16,0.7618733143184697,0.6029497178754404,0.1971464953877223,0.2494253888326483,0.8383498754947092,0.3786048128889282,0.2989595404239924,0.09795160545222763,0.8663253372627381,0.4009577170908583,0.25,0.6316125559941559,1.35,1.8,0.2,0.16,0.08,0.7789807123729787,0.9914329454828618,3.9401529369648576,0.25558882341310174,1.366440922444143,0.16912294532494002,0.16945563924802118,0.00033269392308114934,False,,False
